;;;;
;OCORRENCIA;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desplacamento;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;Deságue deficiente;;;
DRENAGEM OAC;Desgaste;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
OBRA;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
TERRAPLENOS E CONTENÇÕES;;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;;;;
DRENAGEM OAC;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
DRENAGEM OAC;;;;
DRENAGEM OAC;;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Operando;;;
OPERAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ondulação/Corrugação;;;
PAVIMENTAÇÃO;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Trinca tipo 'Bloco', FC-2;;;
PAVIMENTAÇÃO;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Trinca tipo 'Couro de Jacaré', FC-2;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
TERRAPLENOS E CONTENÇÕES;Ausente;;;
SINALIZAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Desplacamento;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Obstruído;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
INTERSEÇÕES, ACESSOS E RETORNOS;Ausente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
OPERAÇÃO;;;;
OPERAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
OPERAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Ausente;;;
SINALIZAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Ausente;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Fraca / Desgastada;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Defensa sem ancoragem;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;;;;
OBRA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Ausente;;;
SINALIZAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Material resultante de poda abandonado;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Sem tampa;;;
DRENAGEM OAC;Errada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Fraca / Desgastada;;;
SINALIZAÇÃO;Sem tampa;;;
DRENAGEM OAC;Sem tampa;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Suja;;;
SINALIZAÇÃO;;;;
OBRA;;;;
OBRA;;;;
OBRA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OBRA;;;;
OBRA;Afundamento local;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Desplacamento;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Desplacamento;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Trinca longitudinal;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Remendo;;;
PAVIMENTAÇÃO;Trinca longitudinal;;;
PAVIMENTAÇÃO;Tampa Danificada;;;
DRENAGEM OAC;Panela / Buraco;;;
PAVIMENTAÇÃO;Equipamento inoperante;;;
OPERAÇÃO;Operando;;;
OPERAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Afundamento local;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
TERRAPLENOS E CONTENÇÕES;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ondulação/Corrugação;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Tombamento;;;
OPERAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Afundamento de trilha de roda;;;
PAVIMENTAÇÃO;Operando;;;
OPERAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Escorregamento de massa asfáltica;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OPERAÇÃO;;;;
OPERAÇÃO;Sujeira;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Não funcional;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Não funcional;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desplacamento;;;
PAVIMENTAÇÃO;Trinca longitudinal;;;
PAVIMENTAÇÃO;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;Acúmulo de vegetação;;;
DRENAGEM OAC;Quebrada;;;
SINALIZAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;;;;
OPERAÇÃO;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Trinca longitudinal;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Trinca longitudinal;;;
PAVIMENTAÇÃO;Danificada;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;;;;
PAVIMENTAÇÃO;Junta de dilatação deficiente;;;
OBRAS DE ARTE ESPECIAIS;Panela / Buraco;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Visibilidade ruim;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Equipamento com falhas;;;
OPERAÇÃO;Fixação deficiente;;;
SINALIZAÇÃO;Capina deficiente;;;
OBRAS DE ARTE ESPECIAIS;Erosão;;;
TERRAPLENOS E CONTENÇÕES;Ancoragem deficiente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Fundação e estrutura;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
PAVIMENTAÇÃO;;;;
OBRA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Áreas excessivamente remendadas;;;
PAVIMENTAÇÃO;Defensa danificada;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;;;;
OBRA;;;;
OBRA;;;;
DRENAGEM OAC;;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRA;;;;
DRENAGEM OAC;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Irregularidades no pavimento;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;;;;
OBRAS DE ARTE ESPECIAIS;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Ausente;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Chamada não atendida;;;
OPERAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Acúmulo de vegetação;;;
DRENAGEM OAC;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Falta de elementos;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;Desgaste;;;
PAVIMENTAÇÃO;;;;
OPERAÇÃO;;;;
PAVIMENTAÇÃO;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Panela \/ Buraco;;;
PAVIMENTAÇÃO;Animal morto na pista;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Encoberto pela vegetação;;;
SINALIZAÇÃO;Buraco;;;
OBRAS DE ARTE ESPECIAIS;;;;
OBRA;Visibilidade ruim;;;
OPERAÇÃO;Visibilidade ruim;;;
OPERAÇÃO;;;;
OBRA;;;;
OBRA;;;;
OBRA;;;;
OBRA;;;;
OBRA;;;;
OPERAÇÃO;;;;
OBRA;;;;
OBRA;;;;
OPERAÇÃO;;;;
OBRA;;;;
EDIFICAÇÕES E INSTALAÇÕES OPERACIONAIS;Dispositivo de concreto danificado;;;
DRENAGEM OAC;Visibilidade ruim;;;
OPERAÇÃO;Apagada;;;
SISTEMA ELÉTRICO E DE ILUMINAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;;;;
OBRA;Trinca tipo 'Couro de Jacaré', FC-3;;;
PAVIMENTAÇÃO;Panela / Buraco;;;
PAVIMENTAÇÃO;Árvores e/ou arbustos afetando a visibilidade;;;
FAIXA DE DOMÍNIO E CANTEIRO CENTRAL;Ausente;;;
SINALIZAÇÃO;;;;
ELEMENTOS DE PROTEÇÃO E SEGURANÇA;Irregularidades no pavimento;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;Afundamento local;;;
PAVIMENTAÇÃO;;;;
